DEPARTURE_TIME,ARRIVAL_TIME,PRICE,CABIN_CLASS,OPERATOR
21:00,23:10,4198,Economy,Air India
10:00,12:15,4198,Economy,Air India
07:00,09:15,4198,Economy,Air India
18:00,20:20,4198,Economy,Air India
16:00,18:20,4198,Economy,Air India
09:00,11:20,4198,Economy,Air India
08:00,10:20,4198,Economy,Air India
15:35,18:00,4198,Economy,Air India
07:50,10:10,4395,Economy,Akasa Air
19:00,21:15,4474,Economy,Air India
13:00,15:15,4474,Economy,Air India
11:40,13:55,4474,Economy,Air India
07:40,11:20,4498,Economy,Air India
20:40,22:40,4544,Economy,SpiceJet
07:00,09:15,4740,Economy,SpiceJet
01:20,03:35,4822,Economy,Vistara
14:40,16:55,4960,Economy,Vistara
21:55,00:10+1,4960,Economy,Vistara
20:40,23:00,4960,Economy,Vistara
17:25,19:45,4960,Economy,Vistara
12:35,14:55,4960,Economy,Vistara
15:45,18:10,4960,Economy,Vistara
19:45,21:55,4960,Economy,Vistara
18:30,20:40,4960,Economy,Vistara
08:45,10:55,4960,Economy,Vistara
07:30,09:40,4960,Economy,Vistara
06:30,08:40,4960,Economy,Vistara
22:50,01:00+1,4960,Economy,Vistara
11:55,13:55,4960,Economy,Vistara
19:10,21:15,4960,Economy,Vistara
10:50,12:55,4960,Economy,Vistara
05:50,07:55,4960,Economy,Vistara
18:50,20:55,5145,Economy,Akasa Air
13:05,15:15,5145,Economy,Akasa Air
09:40,11:45,5146,Economy,SpiceJet
13:15,15:25,5499,Economy,IndiGo
19:15,21:30,5499,Economy,IndiGo
16:55,19:10,5499,Economy,IndiGo
15:30,17:35,5814,Economy,IndiGo
20:15,22:25,5814,Economy,IndiGo
06:05,08:05,6024,Economy,IndiGo
08:30,10:35,6024,Economy,IndiGo
18:00,20:10,6024,Economy,IndiGo
14:15,16:25,6024,Economy,IndiGo
12:15,14:25,6024,Economy,IndiGo
09:30,11:40,6024,Economy,IndiGo
07:45,09:55,6024,Economy,IndiGo
11:00,13:10,7179,Economy,IndiGo
01:50,04:00,4740,Economy,SpiceJet
23:25,01:35+1,4842,Economy,Air India Express
01:20,03:20,5814,Economy,IndiGo
23:15,01:20+1,5814,Economy,IndiGo
21:15,23:20,6024,Economy,IndiGo
22:15,00:25+1,6024,Economy,IndiGo
04:50,07:00,6024,Economy,IndiGo
02:30,04:35,6234,Economy,IndiGo
07:00,09:05,10854,Economy,IndiGo
08:45,10:55,18883,Economy,Japan Airlines
20:40,22:40,19389,Economy,Hahn Air Systems
09:40,11:45,19389,Economy,Hahn Air Systems
11:55,13:55,18883,Basic Economy,British Airways
05:50,07:55,18883,Economy Lite,Singapore Airlines
10:50,12:55,18883,Economy Lite,Singapore Airlines
08:45,10:55,18883,Economy Lite,Singapore Airlines
14:40,16:55,18883,Economy Lite,Singapore Airlines
17:25,19:45,18883,Economy Lite,Singapore Airlines
17:25,19:45,18883,Basic Economy,British Airways
12:35,14:55,18883,Economy Lite,Singapore Airlines
08:45,10:55,19142,Basic Economy,British Airways
06:30,08:40,19142,Economy Lite,Singapore Airlines
21:55,00:10+1,19142,Economy Light,Lufthansa
12:35,14:55,19142,Basic Economy,British Airways
15:45,18:10,19142,Economy Lite,Singapore Airlines
01:50,04:00,19389,Economy,Hahn Air Systems
07:00,09:15,19389,Economy,Hahn Air Systems
